pdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,entity_weight,number_of_polymers,number_of_polymer_residues,number_of_polymer_entities,number_of_bound_entities,number_of_protein_chains,max_observed_residues,molecule_name,all_molecule_name,modified_residue_flag,molecule_type,mutation_type,molecule_synonym,gene_name,entity_id
1e0n,Solution NMR,y,YJQ8WW domain from Saccharomyces cerevisae,"Macias MJ,Gervais V,Civera C,Oschkinat H",Engineered,,,,,,,,P 1,,,,,,,,,,,PF18507,WW_1,WW,WW domain,"IPR001202,IPR036020","WW domain,WW domain superfamily",,,,,,2.1.1.359,[Histone H3]-lysine(36) N-trimethyltransferase,S-adenosyl-L-methionine:[histone H3]-L-lysine(36) N(6)-trimethyltransferase,"Transferases,Transferring one-carbon groups,Methyltransferases,[Histone H3]-lysine(36) N-trimethyltransferase",,,,,All beta proteins,WW domain-like,WW domain,WW domain,P46995,SET2_YEAST,0.04,4715,,3256.645,1,81,1,0,1,27,"Histone-lysine N-methyltransferase\, H3 lysine-36 specific",,N,Protein,,"SET domain-containing protein 2,Histone-lysine N-methyltransferase\, H3 lysine-36 specific,Lysine N-methyltransferase 3","EZL1,YJL168C,SET2,J0520,KMT3",1
2osr,Solution NMR,y,NMR Structure of RRM-2 of Yeast NPL3 Protein,"Deka P,Bucheli M,Skrisovska L,Allain FH,Moore C,Buratowski S,Varani G",Engineered,,,,,Single wavelength,,,P 1,,,,,,,,,,,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR000504,IPR012677,IPR035979","RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,GO:0003676,,nucleic acid binding,,,,,,Q01560,NOP3_YEAST,0.21,,,9964.14,1,174,1,0,1,87,Nucleolar protein 3,,N,Protein,,"Nuclear polyadenylated RNA-binding protein 1,Mitochondrial targeting suppressor 1 protein,Nucleolar protein 3","NPL3,MTR13,NOP3,MTS1,NAB1,YDR432W,D9461.19",1
1aqq,Solution NMR,y,"AG-SUBSTITUTED METALLOTHIONEIN FROM SACCHAROMYCES CEREVISIAE, NMR, 10 STRUCTURES","Peterson CW,Narula SS,Armitage IM",Natural,,,,,,,X-PLOR,P 1,,,X-PLOR,,,,,,,,PF11403,Yeast_MT,Metallothionein,Yeast metallothionein,"IPR022710,IPR017854,IPR037130","Metallothionein domain\, yeast,Metallothionein domain superfamily,Copper metallothionein superfamily",4.10.650.10,Few Secondary Structures,Irregular,Ag-metallothionein,"Metallothionein domain superfamily\, yeast",,,,,"GO:0071585,GO:0010273,GO:0046872,GO:0046870,GO:0005507","detoxification of cadmium ion,detoxification of copper ion","metal ion binding,cadmium ion binding,copper ion binding",,Small proteins,Metallothionein,Metallothionein,Metallothionein,P0CX81,MTCU2_YEAST,0.66,,,4275.656,1,87,1,1,1,40,Copper metallothionein 1-2,,N,Protein,,"Copper metallothionein 1-2,Cu-MT,Cu-metallothionein,Copper thionein,Copper chelatin","CUP1-2,MTH1,YHR055C",1
2rnz,Solution NMR,y,"Solution structure of the presumed chromodomain of the yeast histone acetyltransferase, Esa1","Shimojo H,Sano N,Moriwaki Y,Okuda M,Horikoshi M,Nishimura Y",Engineered,,,,,,,,,,,,,,,,,,,PF11717,Tudor-knot,Tudor,RNA binding activity-knot of a chromodomain,"IPR025995,IPR000953,IPR016197,IPR014729","RNA binding activity-knot of a chromodomain,Chromo/chromo shadow domain,Chromo-like domain superfamily,Rossmann-like alpha/beta/alpha sandwich fold",,,,,,2.3.1.48,Histone acetyltransferase,Acetyl-CoA:[protein]-L-lysine acetyltransferase,"Transferases,Acyltransferases,Transferring groups other than amino-acyl groups,Histone acetyltransferase",,,,,,,,,Q08649,ESA1_YEAST,0.16,,,11071.521,1,188,1,0,1,94,Histone acetyltransferase ESA1,,N,Protein,Expression tag,Histone acetyltransferase ESA1,"ESA1,O5257,YOR244W",1
4uzx,Solution NMR,y,High-resolution NMR structures of the domains of Saccharomyces cerevisiae Tho1,"Jacobsen JOB,Allen MD,Freund SMV,Bycroft M",Engineered,,,,,,,,P 1,,,,,,,,,,,PF18592,Tho1_MOS11_C,,Tho1/MOS11 C-terminal domain,IPR040746,"Tho1\, C-terminal domain",,,,,,,,,,,,,,,,,,P40040,THO1_YEAST,0.3,25214,,7501.494,1,134,1,0,1,67,Protein THO1,,N,Protein,Expression tag,Protein THO1,"THO1,YER063W",1
2ksq,Solution NMR,y,The myristoylated yeast ARF1 in a GTP and bicelle bound conformation,"Liu Y,Kahn R,Prestegard J",Engineered,,,,,,,,,,,,,,,,,,,PF00025,Arf,P-loop_NTPase,ADP-ribosylation factor family,"IPR005225,IPR027417,IPR006689","Small GTP-binding protein domain,P-loop containing nucleoside triphosphate hydrolase,Small GTPase superfamily\, ARF/SAR type",3.40.50.300,Alpha Beta,3-Layer(aba) Sandwich,Rossmann fold,P-loop containing nucleotide triphosphate hydrolases,,,,,"GO:0006893,GO:0015031,GO:0016192,GO:0016236,GO:0006888,GO:0006886,GO:0003924,GO:0005515,GO:0005525,GO:0000166,GO:0005794,GO:0005737,GO:0005886,GO:0005829","Golgi to plasma membrane transport,protein transport,vesicle-mediated transport,macroautophagy,endoplasmic reticulum to Golgi vesicle-mediated transport,intracellular protein transport","GTPase activity,protein binding,GTP binding,nucleotide binding","Golgi apparatus,cytoplasm,plasma membrane,cytosol",,,,,P11076,ARF1_YEAST,0.99,,,20515.562,1,368,1,2,1,181,ADP-ribosylation factor 1,,Y,Protein,See remark 999,ADP-ribosylation factor 1,"ARF1,YDL192W,D1244",1
1qhk,Solution NMR,y,N-TERMINAL DOMAIN OF SACCHAROMYCES CEREVISIAE RNASE HI REVEALS A FOLD WITH A RESEMBLANCE TO THE N-TERMINAL DOMAIN OF RIBOSOMAL PROTEIN L9,"Evans SP,Bycroft M",Engineered,,,,,,,,P 1,,,,,,,,,,,PF01693,Cauli_VI,,Caulimovirus viroplasmin,"IPR009027,IPR037056,IPR011320","Ribosomal protein L9/RNase H1\, N-terminal,Ribonuclease H1\, N-terminal domain superfamily,Ribonuclease H1\, N-terminal",3.40.970.10,Alpha Beta,3-Layer(aba) Sandwich,Ribonuclease HI; Chain A,"Ribonuclease H1\, N-terminal domain",3.1.26.4,Ribonuclease H,-,"Hydrolases,Acting on ester bonds,Endoribonucleases producing 5'-phosphomonoesters,Ribonuclease H",,,,,Alpha and beta proteins (a+b),MbtH/L9 domain-like,L9 N-domain-like,N-terminal domain of RNase HI,Q04740,RNH1_YEAST,0.14,,,5380.938,1,94,1,0,1,47,Ribonuclease H,,N,Protein,,"Ribonuclease H,RNase H","RNH1,YMR234W,YM9959.16",1
2kwc,Solution NMR,y,The NMR structure of the autophagy-related protein Atg8,"Kumeta H,Watanabe M,Nakatogawa H,Yamaguchi M,Ogura K,Adachi W,Fujioka Y,Noda NN,Ohsumi Y,Inagaki F",Engineered,,,,,,,,,,,,,,,,,,,PF02991,Atg8,Ubiquitin,Autophagy protein Atg8 ubiquitin like,"IPR004241,IPR029071","Autophagy protein Atg8 ubiquitin-like,Ubiquitin-like domain superfamily",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,"GO:0061025,GO:0006995,GO:1905153,GO:0061709,GO:0034727,GO:0006914,GO:0044805,GO:0015031,GO:0000045,GO:0032258,GO:0071211,GO:0000422,GO:0016236,GO:0034497,GO:0006888,GO:0016241,GO:0034629,GO:0005515,GO:0008429,GO:0031386,GO:0016020,GO:0000421,GO:0031410,GO:0000407,GO:0033110,GO:0120095,GO:0005774,GO:0000329,GO:0005737,GO:0005776,GO:0005773,GO:0019898,GO:0005829","membrane fusion,cellular response to nitrogen starvation,regulation of membrane invagination,reticulophagy,piecemeal microautophagy of the nucleus,autophagy,late nucleophagy,protein transport,autophagosome assembly,cytoplasm to vacuole transport by the Cvt pathway,protein targeting to vacuole involved in autophagy,autophagy of mitochondrion,macroautophagy,protein localization to phagophore assembly site,endoplasmic reticulum to Golgi vesicle-mediated transport,regulation of macroautophagy,cellular protein-containing complex localization","protein binding,phosphatidylethanolamine binding,protein tag","membrane,autophagosome membrane,cytoplasmic vesicle,phagophore assembly site,Cvt vesicle membrane,vacuole-isolation membrane contact site,vacuolar membrane,fungal-type vacuole membrane,cytoplasm,autophagosome,vacuole,extrinsic component of membrane,cytosol",,,,,P38182,ATG8_YEAST,0.99,16835,,13459.552,1,116,1,0,1,116,Autophagy-related protein 8,,N,Protein,Engineered mutation,"Autophagy-related ubiquitin-like modifier ATG8,Cytoplasm to vacuole targeting protein 5,Autophagy-related protein 8","YBL078C,ATG8,CVT5,AUT7,APG8,YBL0732",1
2ax5,Solution NMR,y,Solution Structure of Urm1 from Saccharomyces Cerevisiae,"Xu J,Huang H,Zhang J,Wu J,Shi Y",Engineered,,,,,,,,,,,,,,,,,,,PF09138,Urm1,Ubiquitin,Urm1 (Ubiquitin related modifier),"IPR016155,IPR015221,IPR012675","Molybdopterin synthase/thiamin biosynthesis sulphur carrier\, beta-grasp,Ubiquitin-related modifier 1,Beta-grasp domain superfamily","3.10.20.30,3.10.20.30","Alpha Beta,Alpha Beta","Roll,Roll","Ubiquitin-like (UB roll),Ubiquitin-like (UB roll)","Beta-grasp domain,Ubiquitin-like (UB roll)",,,,,"GO:0002098,GO:0032447,GO:0002143,GO:0001403,GO:0008033,GO:0034227,GO:0034599,GO:0007114,GO:0005515,GO:0097163,GO:0042803,GO:0031386,GO:0005634,GO:0005737,GO:0005829","tRNA wobble uridine modification,protein urmylation,tRNA wobble position uridine thiolation,invasive growth in response to glucose limitation,tRNA processing,tRNA thio-modification,cellular response to oxidative stress,cell budding","protein binding,sulfur carrier activity,protein homodimerization activity,protein tag","nucleus,cytoplasm,cytosol",,,,,P40554,URM1_YEAST,1.0,,,12110.58,1,214,1,0,1,99,Ubiquitin-related modifier 1,,N,Protein,Expression tag,Ubiquitin-related modifier 1,"URM1,YIL008W",1
1nyn,Solution NMR,y,Solution NMR Structure of Protein YHR087W from Saccharomyces cerevisiae. Northeast Structural Genomics Consortium Target YTYST425.,"Cort JR,Yee AA,Arrowsmith CH,Kennedy MA,Northeast Structural Genomics Consortium (NESG)",Engineered,,,,,Single wavelength,,,,,,,,,,NESG,Northeast Structural Genomics Consortium,,,PF01172,SBDS,,Shwachman-Bodian-Diamond syndrome (SBDS) protein,"IPR019783,IPR039100,IPR036786,IPR036393","Ribosome maturation protein SBDS\, N-terminal,Ribosome maturation protein Sdo1/SBDS-like,Ribosome maturation protein SBDS\, N-terminal domain superfamily,Acetylglutamate kinase-like superfamily",3.30.1250.10,Alpha Beta,2-Layer Sandwich,Hypothetical 12.0 Kda Protein In Nam8-gar1 Intergenic Region; Chain: A;,"Ribosome maturation protein SBDS\, N-terminal domain",,,,,"GO:0006364,GO:0016070,GO:0042254,GO:0003674,GO:0005634,GO:0005737","rRNA processing,RNA metabolic process,ribosome biogenesis",molecular_function,"nucleus,cytoplasm",Alpha and beta proteins (a+b),FYSH domain,FYSH domain,Hypothetical protein Yhr087W,P38804,SDO1L_YEAST,1.0,,,14194.792,1,262,1,0,1,111,Restriction of telomere capping protein 3,,N,Protein,Expression tag,Restriction of telomere capping protein 3,"YHR087W,RTC3",1
2jzc,Solution NMR,y,NMR solution structure of ALG13: The sugar donor subunit of a yeast N-acetylglucosamine transferase. Northeast Structural Genomics Consortium target YG1,"Wang X,Weldeghorghis T,Zhang G,Imepriali B,Montelione GT,Prestegard JH,Northeast Structural Genomics Consortium (NESG)",Engineered,,,,,,,,,,,,,,,NESG,Northeast Structural Genomics Consortium,,,PF04101,Glyco_tran_28_C,GT-B,Glycosyltransferase family 28 C-terminal domain,"IPR007235,IPR014729","Glycosyl transferase\, family 28\, C-terminal,Rossmann-like alpha/beta/alpha sandwich fold",3.40.50.2000,Alpha Beta,3-Layer(aba) Sandwich,Rossmann fold,Glycogen Phosphorylase B;,2.4.1.141,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase,UDP-N-acetyl-D-glucosamine:N-acetyl-D-glucosaminyl-diphosphodolichol N-acetyl-D-glucosaminyltransferase,"Transferases,Glycosyltransferases,Hexosyltransferases,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase","GO:0006488,GO:0005515,GO:0016757,GO:0016740,GO:0016758,GO:0042802,GO:0004577,GO:0005634,GO:0005783,GO:0042406,GO:0043541,GO:0005737,GO:0005829",dolichol-linked oligosaccharide biosynthetic process,"protein binding,transferase activity\, transferring glycosyl groups,transferase activity,transferase activity\, transferring hexosyl groups,identical protein binding,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity","nucleus,endoplasmic reticulum,extrinsic component of endoplasmic reticulum membrane,UDP-N-acetylglucosamine transferase complex,cytoplasm,cytosol",,,,,P53178,ALG13_YEAST,1.0,15617,,25097.668,1,224,1,0,1,201,UDP-N-acetylglucosamine transferase subunit ALG13,,N,Protein,Expression tag,"Asparagine-linked glycosylation protein 13,UDP-N-acetylglucosamine transferase subunit ALG13","YGL047W,ALG13",1
2mnj,Solution NMR,y,NMR solution structure of the yeast Pih1 and Tah1 C-terminal domains complex,"Quinternet M,Jacquemin C,Charpentier B,Manival X",Engineered,,,,,,,,,,,,,,,,,,,PF18482,Pih1_fungal_CS,HSP20,Fungal Pih1 CS domain,IPR041441,"Pih1\, Ascomycota\, CS domain",2.60.40.4160,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulin-like,,,,,,,,,,,,,P38768,PIH1_YEAST,0.26,19688,,10394.039,2,222,2,0,2,88,Protein interacting with Hsp90 1,,N,Protein,,"Protein interacting with Hsp90 1,Nucleolar protein 17","YHR034C,PIH1,NOP17",2
2la4,Solution NMR,y,NMR structure of the C-terminal RRM domain of poly(U) binding 1,"Santiveri CM,Mirassou Y,Rico-Lastres P,Martinez-Lumbreras S,Perez-Canadillas JM",Engineered,,,,,,,,,,,,,,,,,,,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR000504,IPR034639,IPR012677,IPR035979","RNA recognition motif domain,Pub1\, RNA recognition motif 3,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,GO:0003676,,nucleic acid binding,,,,,,P32588,PUB1_YEAST,0.22,17502,,11295.882,1,303,1,0,1,101,Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1,,N,Protein,Expression tag,"ARS consensus-binding protein ACBP-60,Poly(U)-binding protein,Poly uridylate-binding protein,Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1","YNL016W,N2842,PUB1,RNP1",1
2kh9,Solution NMR,y,Solution structure of yeast Prp24-RRM2 bound to a fragment of U6 RNA,"Martin-Tumasz SA,Butcher SE",Engineered,,,,,,,,,,,,,,,,,,,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR034398,IPR000504,IPR012677,IPR007967,IPR035979","Prp24\, RNA recognition motif2,RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,GSKIP domain,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,GO:0003676,,nucleic acid binding,,,,,,P49960,PRP24_YEAST,0.19,7070,,10841.389,2,196,2,0,1,86,U4/U6 snRNA-associated-splicing factor PRP24,,N,Protein,Expression tag,"U4/U6 snRNA-associated-splicing factor PRP24,U4/U6 snRNP protein","PRP24,YMR268C,YM8156.10C",1
1uhm,Solution NMR,,Solution structure of the globular domain of linker histone homolog Hho1p from S. cerevisiae,"Ono K,Kusano O,Shimotakahara S,Shimizu M,Yamazaki T,Shindo H,RIKEN Structural Genomics/Proteomics Initiative (RSGI)",Engineered,,,,,Single wavelength,,,P 1,,,,,,,RSGI,RIKEN Structural Genomics/Proteomics Initiative,,,PF00538,Linker_histone,HTH,linker histone H1 and H5 family,"IPR036390,IPR005818,IPR036388","Winged helix DNA-binding domain superfamily,Linker histone H1/H5\, domain H15,Winged helix-like DNA-binding domain superfamily",1.10.10.10,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain,,,,,"GO:0006334,GO:0003677,GO:0042025,GO:0000786",nucleosome assembly,DNA binding,"host cell nucleus,nucleosome",All alpha proteins,DNA/RNA-binding 3-helical bundle,"""Winged helix"" DNA-binding domain",Linker histone H1/H5,P53551,H1_YEAST,0.3,,,8516.781,1,156,1,0,1,78,Histone H1,,N,Protein,,Histone H1,"YPL127C,LPI17C,HHO1",1
2khh,Solution NMR,y,"Structural requirements for the UBA domain of the mRNA export factor Mex67 to bind its specific targets, the transcription elongation Tho complex component Hpr1 and nucleoporin FxFG repeats","Hobeika M,Brockmann C,Gruessing F,Neuhaus D,Divita G,Stewart M,Dargemont C",Synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.967,2,204,2,0,2,9,FxFG,,N,Protein,,,,2
2khh,Solution NMR,y,"Structural requirements for the UBA domain of the mRNA export factor Mex67 to bind its specific targets, the transcription elongation Tho complex component Hpr1 and nucleoporin FxFG repeats","Hobeika M,Brockmann C,Gruessing F,Neuhaus D,Divita G,Stewart M,Dargemont C",Engineered,,,,,,,,,,,,,,,,,,,PF03943,TAP_C,UBA,TAP C-terminal domain,"IPR005637,IPR009060","TAP C-terminal (TAP-C) domain,UBA-like superfamily","1.10.8.10,1.10.8.10","Mainly Alpha,Mainly Alpha","Orthogonal Bundle,Orthogonal Bundle","Helicase\, Ruva Protein; domain 3,Helicase\, Ruva Protein; domain 3","DNA helicase RuvA subunit\, C-terminal domain,Ubiquitin-associated (UBA) domain",,,,,"GO:0051028,GO:0005634",mRNA transport,,nucleus,,,,,Q99257,MEX67_YEAST,0.1,,,6822.732,2,204,2,0,2,57,mRNA export factor MEX67,,N,Protein,Expression tag,mRNA export factor MEX67,"P2520,MEX67,YPL169C",1
2rqw,Solution NMR,y,Solution structure of Bem1p SH3CI domain complexed with Ste20p-PRR peptide,"Takaku T,Ogura K,Inagaki F",Engineered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7.11.1,Non-specific serine/threonine protein kinase,ATP:protein phosphotransferase (non-specific),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Non-specific serine/threonine protein kinase",,,,,,,,,Q03497,STE20_YEAST,0.03,,,2331.562,2,258,2,0,2,24,Serine/threonine-protein kinase STE20,,N,Protein,,Serine/threonine-protein kinase STE20,"STE20,YHL007C",2
1t4n,Solution NMR,,Solution structure of Rnt1p dsRBD,"Leulliot N,Quevillon-Cheruel S,Graille M,van Tilbeurgh H,Leeper TC,Godin KS,Edwards TE,Sigurdsson ST,Rozenkrants N,Nagel RJ,Ares M,Varani G",Engineered,,,,,Single wavelength,,,P 1,,,,,,,,,,,PF00035,dsrm,DSRM,Double-stranded RNA binding motif,IPR014720,Double-stranded RNA-binding domain,3.30.160.20,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Double Stranded RNA Binding Domain,3.1.26.3,Ribonuclease III,-,"Hydrolases,Acting on ester bonds,Endoribonucleases producing 5'-phosphomonoesters,Ribonuclease III",,,,,Alpha and beta proteins (a+b),dsRBD-like,dsRNA-binding domain-like,Double-stranded RNA-binding domain (dsRBD),Q02555,RNT1_YEAST,0.18,,,10453.133,1,188,1,0,1,88,Ribonuclease 3,,N,Protein,"Expression tag,Initiating methionine","RNase III,Ribonuclease III,Ribonuclease 3","YM9408.01C,YMR239C,RNT1,YM9959.21",1
6hh0,Solution NMR,y,Yeast V-ATPase transmembrane helix 7 NMR structure in DPC micelles,"Zangger K,Hohlweg W,Wagner G",Engineered,,,,,,,,,,,,,,,,,,,,,,,IPR002490,"V-type  ATPase\, V0 complex\, 116kDa subunit family",,,,,,,,,,"GO:1902600,GO:0015078,GO:0033179",proton transmembrane transport,proton transmembrane transporter activity,"proton-transporting V-type ATPase\, V0 domain",,,,,P32563,VPH1_YEAST,0.03,34309,,2832.328,1,50,1,0,1,25,"V-type proton ATPase subunit a\, vacuolar isoform",,N,Protein,Expression tag,"Vacuolar proton translocating ATPase subunit a 1,Vacuolar proton pump a subunit,Vacuolar pH protein 1,V-ATPase a 1 subunit,V-ATPase 95 kDa subunit,V-type proton ATPase subunit a\, vacuolar isoform","YOR270C,VPH1",1
2fce,Solution NMR,y,Solution structure of C-lobe Myosin Light Chain from Saccharomices cerevisiae,"Cicero DO,Pennestri M,Contessa GM,Paci M,Ragnini-Wilson A,Melino S",Engineered,,,,,Single wavelength,,,P 1,,,,,,,,,,,,,,,"IPR011992,IPR002048","EF-hand domain pair,EF-hand domain",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,GO:0005509,,calcium ion binding,,All alpha proteins,EF Hand-like,EF-hand,Calmodulin-like,P53141,MLC1_YEAST,0.47,,,7897.889,1,140,1,0,1,70,Myosin light chain 1,,N,Protein,,"Myosin-2 light chain,Calmodulin-like myosin light chain MLC1,Myosin light chain 1","G3080,MLC1,YGL106W",1
2kvi,Solution NMR,y,Structure of Nab3 RRM,"Pergoli R,Kubicek K,Hobor F,Pasulka J,Stefl R",Engineered,,,,,,,,P 1,,,,,,,,,,,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR034167,IPR000504,IPR012677,IPR035979","Nab3\, RNA recognition motif,RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,"GO:0003723,GO:0003676",,"RNA binding,nucleic acid binding",,,,,,P38996,NAB3_YEAST,0.12,16567,,10992.458,1,192,1,0,1,77,Nuclear polyadenylated RNA-binding protein 3,,N,Protein,Initiating methionine,Nuclear polyadenylated RNA-binding protein 3,"NAB3,HMD1,YPL190C",1
2rqw,Solution NMR,y,Solution structure of Bem1p SH3CI domain complexed with Ste20p-PRR peptide,"Takaku T,Ogura K,Inagaki F",Engineered,,,,,,,,,,,,,,,,,,,PF00018,SH3_1,SH3,SH3 domain,"IPR001452,IPR036028,IPR030507,IPR035549","SH3 domain,SH3-like domain superfamily,Bem1/Scd2,Bem1/Scd2\, SH3 domain 2",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,GO:0000902,cell morphogenesis,,,,,,,P29366,BEM1_YEAST,0.19,,,11414.939,2,258,2,0,2,105,Bud emergence protein 1,,N,Protein,,"Bud emergence protein 1,Suppressor of RHO3 protein 1","SRO1,BEM1,YBR200W,YBR1412",1
2adr,Solution NMR,,"ADR1 DNA-BINDING DOMAIN FROM SACCHAROMYCES CEREVISIAE, NMR, 25 STRUCTURES","Bowers PM,Kleivt RE",Engineered,,,,,,,X-PLOR,P 1,,,X-PLOR,,,,,,,,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,Small proteins,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,"Classic zinc finger\, C2H2",P07248,ADR1_YEAST,0.05,,,7126.188,1,122,1,1,1,60,Regulatory protein ADR1,,N,Protein,Engineered mutation,Regulatory protein ADR1,"YDR216W,YD8142B.08,ADR1,YD8142.16",1
1fpw,Solution NMR,y,STRUCTURE OF YEAST FREQUENIN,"Ames JB,Hendricks KB,Strahl T,Huttner IG,Thorner J",Natural,,,,,,,X-PLOR,P 1,,,,,,,,,,,PF00036,EF-hand_1,EF_hand,EF hand,"IPR011992,IPR002048,IPR028846","EF-hand domain pair,EF-hand domain,Recoverin family",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,"GO:0009966,GO:0043128,GO:0005509,GO:0008047,GO:0005515,GO:0046872,GO:0016020,GO:0033101,GO:0005886,GO:0005829,GO:0000139","regulation of signal transduction,positive regulation of 1-phosphatidylinositol 4-kinase activity","calcium ion binding,enzyme activator activity,protein binding,metal ion binding","membrane,cellular bud membrane,plasma membrane,cytosol,Golgi membrane",All alpha proteins,EF Hand-like,EF-hand,Calmodulin-like,Q06389,NCS1_YEAST,1.0,,,22036.96,1,576,1,1,1,190,Calcium-binding protein NCS-1,,N,Protein,,Calcium-binding protein NCS-1,"FRQ1,NCS1,YDR373W,D9481.6",1
1j4l,Solution NMR,,SOLUTION STRUCTURE OF THE FHA2 DOMAIN OF RAD53 COMPLEXED WITH A PHOSPHOTHREONYL PEPTIDE DERIVED FROM RAD9,"Byeon I-JL,Yongkiettrakul S,Tsai M-D",Engineered,,,,,,,,P 1,,,,,,,,,,,PF00498,FHA,SMAD-FHA,FHA domain,"IPR000253,IPR008984","Forkhead-associated (FHA) domain,SMAD/FHA domain superfamily",2.60.200.20,Mainly Beta,Sandwich,Tumour Suppressor Smad4,Tumour Suppressor Smad4,2.7.12.1,Dual-specificity kinase,ATP:protein phosphotransferase (Ser/Thr- and Tyr-phosphorylating),"Transferases,Transferring phosphorus-containing groups,Dual-specificity kinases (those acting on Ser/Thr and Tyr residues),Dual-specificity kinase",,,,,All beta proteins,SMAD/FHA domain,SMAD/FHA domain,FHA domain,P22216,RAD53_YEAST,0.19,,,18148.758,2,334,2,0,2,158,Serine/threonine-protein kinase RAD53,,N,Protein,,"Serine/threonine-protein kinase RAD53,Serine-protein kinase 1,CHEK2 homolog","RAD53,SAD1,YPL153C,MEC2,P2588,SPK1",1
