pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
1z1d,,,,,"IPR040260,IPR036390,IPR014892,IPR036388","Replication factor A protein-like,Winged helix DNA-binding domain superfamily,Replication protein A\, C-terminal,Winged helix-like DNA-binding domain superfamily",1.10.10.10,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain,,,,,,,,,All alpha proteins,DNA/RNA-binding 3-helical bundle,"""Winged helix"" DNA-binding domain",C-terminal domain of RPA32,"P15927,P15927-2,P15927-3","RFA2_HUMAN,RFA2_HUMAN,RFA2_HUMAN",0.37,"4460,4127",,14.96,-1.0,,,,1
2fin,PF00048,IL8,,"Small cytokines (intecrine/chemokine)\, interleukin-8 like","IPR039809,IPR001811,IPR036048","Chemokine beta/gamma/delta,Chemokine interleukin-8-like domain,Chemokine interleukin-8-like superfamily",2.40.50.40,Mainly Beta,Beta Barrel,"OB fold (Dihydrolipoamide Acetyltransferase\, E2P)","OB fold (Dihydrolipoamide Acetyltransferase\, E2P)",,,,,"GO:0007163,GO:0030593,GO:0002548,GO:0007165,GO:0007155,GO:0048247,GO:2000503,GO:0051928,GO:0006935,GO:0007267,GO:0070374,GO:0006954,GO:0007186,GO:0070098,GO:0009615,GO:0019221,GO:0043922,GO:0071346,GO:0043547,GO:0071356,GO:0009636,GO:0050850,GO:0071347,GO:0006955,GO:0005515,GO:0005125,GO:0031726,GO:0048020,GO:0008009,GO:0031730,GO:0042802,GO:0005615,GO:0005576","establishment or maintenance of cell polarity,neutrophil chemotaxis,monocyte chemotaxis,signal transduction,cell adhesion,lymphocyte chemotaxis,positive regulation of natural killer cell chemotaxis,positive regulation of calcium ion transport,chemotaxis,cell-cell signaling,positive regulation of ERK1 and ERK2 cascade,inflammatory response,G protein-coupled receptor signaling pathway,chemokine-mediated signaling pathway,response to virus,cytokine-mediated signaling pathway,negative regulation by host of viral transcription,cellular response to interferon-gamma,positive regulation of GTPase activity,cellular response to tumor necrosis factor,response to toxic substance,positive regulation of calcium-mediated signaling,cellular response to interleukin-1,immune response","protein binding,cytokine activity,CCR1 chemokine receptor binding,CCR chemokine receptor binding,chemokine activity,CCR5 chemokine receptor binding,identical protein binding","extracellular space,extracellular region",,,,,P13236,CCL4_HUMAN,1.0,,,8.42,-1.0,,,,2
2cnj,,,,,"IPR009011,IPR000479","Mannose-6-phosphate receptor binding domain superfamily,Cation-independent mannose-6-phosphate receptor repeat",2.70.130.10,Mainly Beta,Distorted Sandwich,Cation-dependent Mannose-6-phosphate Receptor; Chain A,Mannose-6-phosphate receptor binding domain,,,,,"GO:0007041,GO:0005520,GO:0038023,GO:0005537",lysosomal transport,"insulin-like growth factor binding,signaling receptor activity,mannose binding",,All beta proteins,Mannose 6-phosphate receptor domain,Mannose 6-phosphate receptor domain,Mannose 6-phosphate receptor domain,P11717,MPRI_HUMAN,0.06,,,19.47,-1.0,,,,1
2dmo,PF00018,SH3_1,SH3,SH3 domain,"IPR001452,IPR035546,IPR036028,IPR034889","SH3 domain,Neutrophil cytosol factor 2\, SH3 domain 1,SH3-like domain superfamily,Neutrophil cytosol factor 2",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,"GO:0045730,GO:0006909,GO:0016176,GO:0043020","respiratory burst,phagocytosis",superoxide-generating NADPH oxidase activator activity,NADPH oxidase complex,,,,,"P19878,P19878-3,P19878-4,P19878-2","NCF2_HUMAN,NCF2_HUMAN,NCF2_HUMAN,NCF2_HUMAN",0.1,,,43.39,-1.0,,,,1
2lv1,,,,,"IPR022416,IPR000817,IPR036924","Prion/Doppel protein\, beta-ribbon domain,Prion protein,Prion/Doppel beta-ribbon domain superfamily",,,,,,,,,,"GO:0051260,GO:0016020",protein homooligomerization,,membrane,,,,,P04156,PRIO_HUMAN,0.61,18550,,12.77,-1.0,,,,1
2n11,,,,,,,,,,,,,,,,,,,,,,,,"Q9UM54,Q9UM54-6,Q9UM54-2,Q9UM54-4,Q9UM54-1,Q9UM54-5","MYO6_HUMAN,MYO6_HUMAN,MYO6_HUMAN,MYO6_HUMAN,MYO6_HUMAN,MYO6_HUMAN",0.06,25543,,32.64,-1.0,,,,1
2mza,,,,,,,,,,,,,,,,,,,,,,,,"P21554,P21554-3,P21554-2","CNR1_HUMAN,CNR1_HUMAN,CNR1_HUMAN",0.04,25478,,0.6,-1.0,,,,1
1wjs,PF02820,MBT,Tudor,mbt repeat,IPR004092,Mbt repeat,2.30.30.140,Mainly Beta,Roll,SH3 type barrels.,SH3 type barrels.,,,,,"GO:0006355,GO:0005634","regulation of transcription\, DNA-templated",,nucleus,All beta proteins,SH3-like barrel,Tudor/PWWP/MBT,MBT repeat,"Q96JM7,Q96JM7-2","LMBL3_HUMAN,LMBL3_HUMAN",0.15,,,18.58,-1.0,,,,1
1g26,,,,,"IPR000118,IPR037277","Granulin,Granulin superfamily",,,,,,,,,,,,,,Small proteins,"Knottins (small inhibitors\, toxins\, lectins)",Granulin repeat,Granulin repeat,"P28799,P28799-2,P28799-3","GRN_HUMAN,GRN_HUMAN,GRN_HUMAN",0.05,,,2.85,-1.0,,,,1
1yyj,,,,,"IPR009155,IPR010980","Cytochrome b562,Cytochrome c/b562",1.20.120.10,Mainly Alpha,Up-down Bundle,"Four Helix Bundle (Hemerythrin (Met)\, subunit A)",Cytochrome c/b562,,,,,"GO:0022900,GO:0005506,GO:0009055,GO:0020037,GO:0042597",electron transport chain,"iron ion binding,electron transfer activity,heme binding",periplasmic space,,,,,,,,,,4.18,-1.0,,,,1
2lxp,PF13639,zf-RING_2,RING,Ring finger domain,"IPR013083,IPR001841","Zinc finger\, RING/FYVE/PHD-type,Zinc finger\, RING-type",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",2.3.2.27,RING-type E3 ubiquitin transferase,[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine:[acceptor protein]-L-lysine ubiquitin transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,RING-type E3 ubiquitin transferase",,,,,,,,,Q9UKV5,AMFR_HUMAN,0.09,18688,,20.79,-1.0,,,,3
2lxp,PF18442,G2BR,,E3 gp78 Ube2g2-binding region (G2BR),IPR040675,"E3 ubiquitin-protein ligase AMFR\, Ube2g2-binding region",,,,,,2.3.2.27,RING-type E3 ubiquitin transferase,[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine:[acceptor protein]-L-lysine ubiquitin transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,RING-type E3 ubiquitin transferase",,,,,,,,,Q9UKV5,AMFR_HUMAN,0.04,18688,,20.79,-1.0,,,,2
1gfd,PF00018,SH3_1,SH3,SH3 domain,"IPR001452,IPR036028,IPR035643,IPR030219","SH3 domain,SH3-like domain superfamily,GRB2\, C-terminal SH3 domain,Growth factor receptor-bound protein 2",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,"GO:0005070,GO:0005654",,SH3/SH2 adaptor activity,nucleoplasm,All beta proteins,SH3-like barrel,SH3-domain,SH3-domain,"P62993,P62993-2","GRB2_HUMAN,GRB2_HUMAN",0.26,,,1.52,-1.0,,,,1
2cuh,,,,,"IPR003961,IPR036116,IPR013783","Fibronectin type III,Fibronectin type III superfamily,Immunoglobulin-like fold",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,All beta proteins,Immunoglobulin-like beta-sandwich,Fibronectin type III,Fibronectin type III,"P22105,P22105-1,P22105-4,P22105-2","TENX_HUMAN,TENX_HUMAN,TENX_HUMAN,TENX_HUMAN",0.02,,,24.96,-1.0,,,,1
2lri,,,,,"IPR013083,IPR001965,IPR011011,IPR042580","Zinc finger\, RING/FYVE/PHD-type,Zinc finger\, PHD-type,Zinc finger\, FYVE/PHD-type,AIRE\, PHD finger 2",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",,,,,,,,,,,,,"O43918,O43918-4,O43918-3,O43918-2","AIRE_HUMAN,AIRE_HUMAN,AIRE_HUMAN,AIRE_HUMAN",0.12,18374,,57.31,-1.0,,,,1
2ma7,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",,,,,,,,,,GO:0003676,,nucleic acid binding,,,,,,"Q9H2S9,Q9H2S9-2","IKZF4_HUMAN,IKZF4_HUMAN",0.11,19331,,22.34,-1.0,,,,1
2l64,PF00123,Hormone_2,,Peptide hormone,IPR000532,Glucagon/GIP/secretin/VIP,,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,P01275,GLUC_HUMAN,0.21,,,4.38,-1.0,,,,1
2dlk,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,Small proteins,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,"Classic zinc finger\, C2H2","Q9BU19,Q9BU19-5,Q9BU19-2,Q9BU19-3","ZN692_HUMAN,ZN692_HUMAN,ZN692_HUMAN,ZN692_HUMAN",0.13,,,22.64,-1.0,,,,1
1g6j,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),Ubiquitin-like,Ubiquitin-related,P0CG48,UBC_HUMAN,0.11,,,8.14,-1.0,,,,1
1w09,PF09236,AHSP,,Alpha-haemoglobin stabilising protein,"IPR036468,IPR015317","AHSP superfamily,Alpha-haemoglobin stabilising protein",1.20.58.420,Mainly Alpha,Up-down Bundle,"Methane Monooxygenase Hydroxylase; Chain G\, domain 1",AHSP,,,,,"GO:0020027,GO:0006457,GO:0030097,GO:0030218,GO:0050821,GO:0030492,GO:0051082,GO:0005515,GO:0005833,GO:0005737","hemoglobin metabolic process,protein folding,hemopoiesis,erythrocyte differentiation,protein stabilization","hemoglobin binding,unfolded protein binding,protein binding","hemoglobin complex,cytoplasm",All alpha proteins,Spectrin repeat-like,Alpha-hemoglobin stabilizing protein AHSP,Alpha-hemoglobin stabilizing protein AHSP,Q9NZD4,AHSP_HUMAN,0.9,,,3.08,-1.0,,,,1
1ujd,PF00595,PDZ,PDZ-like,PDZ domain,"IPR030629,IPR036034,IPR001478","Protein piccolo,PDZ superfamily,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,"GO:0007416,GO:0048786",synapse assembly,,presynaptic active zone,All beta proteins,PDZ domain-like,PDZ domain-like,PDZ domain,"Q9Y6V0,Q9Y6V0-3,Q9Y6V0-6","PCLO_HUMAN,PCLO_HUMAN,PCLO_HUMAN",0.02,,,4.55,-1.0,,,,1
1irs,,,,,,,,,,,,,,,,,,,,,,,,"P24394,P24394-3","IL4RA_HUMAN,IL4RA_HUMAN",0.01,,,4.2,-1.0,,,,2
2rmk,PF02185,HR1,,Hr1 repeat,"IPR036274,IPR011072","HR1 repeat superfamily,HR1 rho-binding domain",1.10.287.160,Mainly Alpha,Orthogonal Bundle,Helix Hairpins,HR1 repeat,2.7.11.13,Protein kinase C,ATP:protein phosphotransferase (diacylglycerol-dependent),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Protein kinase C","GO:0007165,GO:0004674,GO:0017049",signal transduction,"protein serine/threonine kinase activity,GTP-Rho binding",,All alpha proteins,Long alpha-hairpin,HR1 repeat,HR1 repeat,"Q16512,Q16512-3,Q16512-2","PKN1_HUMAN,PKN1_HUMAN,PKN1_HUMAN",0.08,,,12.16,-1.0,,,,2
2djn,PF00046,Homeodomain,HTH,Homeodomain,"IPR020479,IPR000047,IPR001356,IPR009057","Homeobox domain\, metazoa,Helix-turn-helix motif,Homeobox domain,Homeobox-like domain superfamily",1.10.10.60,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Homeodomain-like,,,,,"GO:0006355,GO:0003677,GO:0043565","regulation of transcription\, DNA-templated","DNA binding,sequence-specific DNA binding",,,,,,"P56178,P56178-2","DLX5_HUMAN,DLX5_HUMAN",0.2,,,26.25,-1.0,,,,1
1wi1,PF00169,PH,PH,PH domain,"IPR001849,IPR011993,IPR033227","Pleckstrin homology domain,PH-like domain superfamily,Calcium-dependent secretion activator",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,"GO:0016079,GO:1990504","synaptic vesicle exocytosis,dense core granule exocytosis",,,All beta proteins,PH domain-like barrel,PH domain-like,Pleckstrin-homology domain (PH domain),"Q9ULU8,Q9ULU8-4,Q9ULU8-2,Q9ULU8-5,Q9ULU8-3","CAPS1_HUMAN,CAPS1_HUMAN,CAPS1_HUMAN,CAPS1_HUMAN,CAPS1_HUMAN",0.08,,,16.74,-1.0,,,,1
2crn,,,,,IPR009060,UBA-like superfamily,,,,,,,,,,,,,,All alpha proteins,RuvA C-terminal domain-like,UBA-like,UBA domain,"P57075,P57075-3,P57075-2","UBS3A_HUMAN,UBS3A_HUMAN,UBS3A_HUMAN",0.08,,,15.42,-1.0,,,,1
2l1y,,,,,"IPR036438,IPR016179","Insulin-like superfamily,Insulin-like",,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,P01308,INS_HUMAN,0.24,,,1.29,-1.0,,,,1
1ka6,PF00017,SH2,SH2-like,SH2 domain,"IPR017289,IPR000980,IPR036860,IPR035876","SH2 protein 1A,SH2 domain,SH2 domain superfamily,SH2D1A\, SH2 domain",3.30.505.10,Alpha Beta,2-Layer Sandwich,SHC Adaptor Protein,SH2 domain,,,,,"GO:0006959,GO:0007267,GO:0006968,GO:0050776,GO:0002376,GO:0009967,GO:0045087,GO:0002250,GO:0045954,GO:0005515,GO:0005070,GO:0005737,GO:0005829","humoral immune response,cell-cell signaling,cellular defense response,regulation of immune response,immune system process,positive regulation of signal transduction,innate immune response,adaptive immune response,positive regulation of natural killer cell mediated cytotoxicity","protein binding,SH3/SH2 adaptor activity","cytoplasm,cytosol",Alpha and beta proteins (a+b),SH2-like,SH2 domain,SH2 domain,"O60880,O60880-4,O60880-2,O60880-6,O60880-3,O60880-5","SH21A_HUMAN,SH21A_HUMAN,SH21A_HUMAN,SH21A_HUMAN,SH21A_HUMAN,SH21A_HUMAN",1.0,,,10.28,-1.0,,,,1
1ka6,,,,,,,,,,,,,,,,,,,,,,,,"Q13291,Q13291-4,Q13291-2,Q13291-3","SLAF1_HUMAN,SLAF1_HUMAN,SLAF1_HUMAN,SLAF1_HUMAN",0.03,,,10.28,-1.0,,,,2
2e7k,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR001478","PDZ superfamily,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,,,,,,,,,"Q14168,Q14168-6,Q14168-4,Q14168-2,Q14168-5,Q14168-3","MPP2_HUMAN,MPP2_HUMAN,MPP2_HUMAN,MPP2_HUMAN,MPP2_HUMAN,MPP2_HUMAN",0.14,,,14.63,-1.0,,,,1
2li8,PF00098,zf-CCHC,Retroviral_zf,Zinc knuckle,"IPR036875,IPR001878","Zinc finger\, CCHC-type superfamily,Zinc finger\, CCHC-type",4.10.60.10,Few Secondary Structures,Irregular,HIV-1 Nucleocapsid Protein,"Zinc finger\, CCHC-type",,,,,"GO:0003676,GO:0008270",,"nucleic acid binding,zinc ion binding",,,,,,Q9H9Z2,LN28A_HUMAN,0.3,17883,,11.92,-1.0,,,,1
1h5p,PF01342,SAND,,SAND domain,"IPR010919,IPR000770","SAND-like domain superfamily,SAND domain",3.10.390.10,Alpha Beta,Roll,SAND domain,SAND domain-like,,,,,GO:0003677,,DNA binding,,Alpha and beta proteins (a+b),SAND domain-like,SAND domain-like,SAND domain,"P23497,P23497-3,P23497-4","SP100_HUMAN,SP100_HUMAN,SP100_HUMAN",0.1,5558,,3.84,-1.0,,,,1
2lls,PF01023,S_100,EF_hand,S-100/ICaBP type calcium binding domain,"IPR011992,IPR002048,IPR013787,IPR028486","EF-hand domain pair,EF-hand domain,S100/CaBP-9k-type\, calcium binding\, subdomain,Protein S100-A1",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,"GO:0035556,GO:1901387,GO:0002224,GO:0021762,GO:0000122,GO:0051000,GO:1903672,GO:0008016,GO:0005509,GO:0005515,GO:0042803,GO:0044548,GO:0051117,GO:0046872,GO:0048306,GO:0042802,GO:0005634,GO:0031430,GO:0043005,GO:0031672,GO:0032991,GO:0016529,GO:0031674,GO:0005737,GO:0005576,GO:0030018","intracellular signal transduction,positive regulation of voltage-gated calcium channel activity,toll-like receptor signaling pathway,substantia nigra development,negative regulation of transcription by RNA polymerase II,positive regulation of nitric-oxide synthase activity,positive regulation of sprouting angiogenesis,regulation of heart contraction","calcium ion binding,protein binding,protein homodimerization activity,S100 protein binding,ATPase binding,metal ion binding,calcium-dependent protein binding,identical protein binding","nucleus,M band,neuron projection,A band,protein-containing complex,sarcoplasmic reticulum,I band,cytoplasm,extracellular region,Z disc",,,,,P23297,S10A1_HUMAN,0.99,18087,,9.01,-1.0,,,,1
2ds4,PF00630,Filamin,E-set,Filamin/ABP280 repeat,"IPR017868,IPR001298,IPR013783,IPR014756","Filamin/ABP280 repeat-like,Filamin/ABP280 repeat,Immunoglobulin-like fold,Immunoglobulin E-set",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,,,,,"Q9H8W5,Q9H8W5-2","TRI45_HUMAN,TRI45_HUMAN",0.18,,,23.87,-1.0,,,,1
2rqb,PF11648,RIG-I_C-RD,Beta-tent,C-terminal domain of RIG-I,"IPR038557,IPR021673","RIG-I-like receptor\, C-terminal domain superfamily,RIG-I-like receptor\, C-terminal regulatory domain","2.170.150.30,2.170.150.30","Mainly Beta,Mainly Beta","Beta Complex,Beta Complex","Metal Binding Protein\, Guanine Nucleotide Exchange Factor; Chain A,Metal Binding Protein\, Guanine Nucleotide Exchange Factor; Chain A","Metal Binding Protein\, Guanine Nucleotide Exchange Factor; Chain A,RIG-I-like receptor\, C-terminal regulatory domain",3.6.4.13,RNA helicase,ATP phosphohydrolase (RNA helix unwinding),"Hydrolases,Acting on acid anhydrides,Acting on ATP; involved in cellular and subcellular movement,RNA helicase",,,,,,,,,"Q9BYX4,Q9BYX4-2","IFIH1_HUMAN,IFIH1_HUMAN",0.13,,,5.12,-1.0,,,,1
2kxh,,,,,,,,,,,,,,,,,,,,,,,,"Q96AE4,Q96AE4-2","FUBP1_HUMAN,FUBP1_HUMAN",0.04,,,19.26,-1.0,,,,2
2yu3,,,,,"IPR036390,IPR016049,IPR036388,IPR007832","Winged helix DNA-binding domain superfamily,RNA polymerase Rpc34-like,Winged helix-like DNA-binding domain superfamily,RNA polymerase Rpc34",1.10.10.10,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Winged helix-like DNA-binding domain superfamily/Winged helix DNA-binding domain,,,,,"GO:0006383,GO:0005666",transcription by RNA polymerase III,,RNA polymerase III complex,,,,,Q9H1D9,RPC6_HUMAN,0.26,,,9.26,-1.0,,,,1
2kxh,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR000504,IPR034211,IPR012677,IPR034209,IPR035979","RNA recognition motif domain,PUF60\, RNA recognition motif 2,Nucleotide-binding alpha-beta plait domain superfamily,PUF60\, RNA recognition motif 1,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,GO:0003676,,nucleic acid binding,,,,,,"Q9UHX1,Q9UHX1-6,Q9UHX1-4,Q9UHX1-2,Q9UHX1-5,Q9UHX1-3","PUF60_HUMAN,PUF60_HUMAN,PUF60_HUMAN,PUF60_HUMAN,PUF60_HUMAN,PUF60_HUMAN",0.35,,,19.26,-1.0,,,,1
6mif,PF00412,LIM,Zn_Beta_Ribbon,LIM domain,"IPR001781,IPR017351","Zinc finger\, LIM-type,LIM and senescent cell antigen-like-containing domain protein 1",,,,,,,,,,,,,,,,,,"P48059,P48059-4,P48059-3,P48059-5,P48059-2","LIMS1_HUMAN,LIMS1_HUMAN,LIMS1_HUMAN,LIMS1_HUMAN,LIMS1_HUMAN",0.24,30518,,9.4,-1.0,,,,1
2e7c,PF07679,I-set,Ig,Immunoglobulin I-set domain,"IPR003599,IPR013098,IPR013783,IPR036179","Immunoglobulin subtype,Immunoglobulin I-set,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,,,,,Q14324,MYPC2_HUMAN,0.1,,,19.92,-1.0,,,,1
2jv0,PF00856,SET,,SET domain,IPR001214,SET domain,2.170.270.10,Mainly Beta,Beta Complex,Beta-clip-like,SET domain,2.1.1.355,[Histone H3]-lysine(9) N-trimethyltransferase,S-adenosyl-L-methionine:[histone H3]-L-lysine(9) N(6)-methyltransferase,"Transferases,Transferring one-carbon groups,Methyltransferases,[Histone H3]-lysine(9) N-trimethyltransferase",,,,,,,,,"Q13029,Q13029-2,Q13029-3,Q13029-4,Q13029-5","PRDM2_HUMAN,PRDM2_HUMAN,PRDM2_HUMAN,PRDM2_HUMAN,PRDM2_HUMAN",0.09,,,0.81,-1.0,,,,1
2md8,,,,,"IPR001965,IPR011011,IPR019787,IPR036427","Zinc finger\, PHD-type,Zinc finger\, FYVE/PHD-type,Zinc finger\, PHD-finger,Bromodomain-like superfamily",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",,,,,,,,,,,,,"Q13342,Q13342-3,Q13342-6,Q13342-5","SP140_HUMAN,SP140_HUMAN,SP140_HUMAN,SP140_HUMAN",0.06,19473,,88.73,-1.0,,,,1
1k18,,,,,IPR038256,"DNA polymerase alpha\, zinc finger domain superfamily",,,,,,2.7.7.7,DNA-directed DNA polymerase,Deoxynucleoside-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed),"Transferases,Transferring phosphorus-containing groups,Nucleotidyltransferases,DNA-directed DNA polymerase",,,,,Small proteins,Zinc finger domain of DNA polymerase-alpha,Zinc finger domain of DNA polymerase-alpha,Zinc finger domain of DNA polymerase-alpha,P09884,DPOLA_HUMAN,0.02,,,2.85,-1.0,,,,1
1aa9,PF00071,Ras,P-loop_NTPase,Ras family,"IPR001806,IPR020849,IPR027417,IPR005225","Small GTPase,Small GTPase superfamily\, Ras-type,P-loop containing nucleoside triphosphate hydrolase,Small GTP-binding protein domain",3.40.50.300,Alpha Beta,3-Layer(aba) Sandwich,Rossmann fold,P-loop containing nucleotide triphosphate hydrolases,,,,,"GO:0048169,GO:0042088,GO:0097193,GO:0048013,GO:0001934,GO:0007165,GO:0007166,GO:0030335,GO:0032729,GO:0043406,GO:0090314,GO:0006897,GO:0045740,GO:0006935,GO:0007265,GO:0009887,GO:1900029,GO:0043524,GO:0045944,GO:0090303,GO:0007569,GO:0046579,GO:0050679,GO:0010629,GO:0050852,GO:0070374,GO:0007264,GO:0008284,GO:0046330,GO:0007093,GO:0034260,GO:2000630,GO:0098696,GO:0006915,GO:0007050,GO:0042832,GO:0043547,GO:0010628,GO:2000251,GO:0008285,GO:0002223,GO:0000165,GO:0001889,GO:0010863,GO:0090398,GO:0071480,GO:0043410,GO:0035900,GO:0003924,GO:0005515,GO:0008022,GO:0019003,GO:0005525,GO:0000166,GO:0044877,GO:0005634,GO:0005654,GO:0043231,GO:0016020,GO:0005794,GO:0048471,GO:0098978,GO:0005737,GO:0005886,GO:0005829,GO:0000139","regulation of long-term neuronal synaptic plasticity,T-helper 1 type immune response,intrinsic apoptotic signaling pathway,ephrin receptor signaling pathway,positive regulation of protein phosphorylation,signal transduction,cell surface receptor signaling pathway,positive regulation of cell migration,positive regulation of interferon-gamma production,positive regulation of MAP kinase activity,positive regulation of protein targeting to membrane,endocytosis,positive regulation of DNA replication,chemotaxis,Ras protein signal transduction,animal organ morphogenesis,positive regulation of ruffle assembly,negative regulation of neuron apoptotic process,positive regulation of transcription by RNA polymerase II,positive regulation of wound healing,cell aging,positive regulation of Ras protein signal transduction,positive regulation of epithelial cell proliferation,negative regulation of gene expression,T cell receptor signaling pathway,positive regulation of ERK1 and ERK2 cascade,small GTPase mediated signal transduction,positive regulation of cell population proliferation,positive regulation of JNK cascade,mitotic cell cycle checkpoint,negative regulation of GTPase activity,positive regulation of miRNA metabolic process,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,apoptotic process,cell cycle arrest,defense response to protozoan,positive regulation of GTPase activity,positive regulation of gene expression,positive regulation of actin cytoskeleton reorganization,negative regulation of cell population proliferation,stimulatory C-type lectin receptor signaling pathway,MAPK cascade,liver development,positive regulation of phospholipase C activity,cellular senescence,cellular response to gamma radiation,positive regulation of MAPK cascade,response to isolation stress","GTPase activity,protein binding,protein C-terminus binding,GDP binding,GTP binding,nucleotide binding,protein-containing complex binding","nucleus,nucleoplasm,intracellular membrane-bounded organelle,membrane,Golgi apparatus,perinuclear region of cytoplasm,glutamatergic synapse,cytoplasm,plasma membrane,cytosol,Golgi membrane",Alpha and beta proteins (a/b),P-loop containing nucleoside triphosphate hydrolases,P-loop containing nucleoside triphosphate hydrolases,G proteins,"P01112,P01112-2","RASH_HUMAN,RASH_HUMAN",0.9,,,0.51,-1.0,,,,1
